Stock,Stock,Transaction,Politician,Filed,Traded,Description
AAL,"AAL
AMERICAN AIRLINES GROUP, INC.
None","Purchase
$1,001 - $15,000","Mr. K. Michael Conaway
House / R","Feb. 12, 2014","Jan. 13, 2014",-
DAL,"DAL
DELTA AIR LINES, INC. COMMON STOCK
ST","Sale
$1,001 - $15,000","Morgan Mcgarvey
House / D","Sep. 03, 2024","Jul. 23, 2024",-
DAL,"DAL
DELTA AIR LINES, INC. COMMON STOCK
ST","Purchase
$1,001 - $15,000","Morgan Mcgarvey
House / D","Jul. 03, 2024","Jun. 28, 2024",-
DAL,"DAL
DELTA AIR LINES, INC.
ST","Sale
$15,001 - $50,000","Daniel Goldman
House / D","Apr. 17, 2023","Mar. 06, 2023",-
DAL,"DAL
DELTA AIR LINES, INC.
ST","Purchase
$15,001 - $50,000","Daniel Goldman
House / D","Feb. 24, 2023","Jan. 31, 2023",-
DAL,"DAL
Delta Air Lines, Inc.
Stock","Purchase
$1,001 - $15,000","Roberts, Pat
Senate / R","Dec. 03, 2020","Nov. 16, 2020",-
DAL,"DAL
DELTA AIR LINES, INC.
ST","Sale
$1,001 - $15,000","Thomas Suozzi
House / D","Sep. 23, 2021","May. 04, 2020",-
DAL,"DAL
DELTA AIR LINES, INC.
ST","Sale
$1,001 - $15,000","Josh Gottheimer
House / D","Jun. 10, 2020","May. 04, 2020",-
DAL,"DAL
DELTA AIR LINES, INC.
ST","Sale
$1,001 - $15,000","Donald Sternoff Beyer Jr
House / D","May. 09, 2020","Apr. 27, 2020",125 UNITS DELTA AIR LINES
DAL,"DAL
DELTA AIR LINES, INC.
ST","Sale
$1,001 - $15,000","Donald Sternoff Beyer Jr
House / D","May. 09, 2020","Apr. 22, 2020",SALE OF 125 UNITS OF DELTA AIR LINES INC.
DAL,"DAL
Delta Air Lines, Inc.
Stock","Sale (Full)
$50,001 - $100,000","Loeffler, Kelly
Senate / R","May. 01, 2020","Apr. 14, 2020",-
DAL,"DAL
Delta Air Lines, Inc.
Stock","Sale (Full)
$1,001 - $15,000","Perdue, David
Senate / R","May. 08, 2020","Apr. 14, 2020",-
DAL,"DAL
Delta Air Lines, Inc.
Stock Option","Purchase
$100,001 - $250,000","Loeffler, Kelly
Senate / R","May. 01, 2020","Apr. 07, 2020",Option Type: Put Strike price: $55.00 Expires: 06/19/2020
DAL,"DAL
Delta Air Lines, Inc.
Stock Option","Purchase
$100,001 - $250,000","Loeffler, Kelly
Senate / R","May. 01, 2020","Apr. 07, 2020",Option Type: Put Strike price: $52.50 Expires: 09/18/2020
DAL,"DAL
Delta Air Lines, Inc.
Stock","Sale (Full)
$50,001 - $100,000","Loeffler, Kelly
Senate / R","May. 01, 2020","Apr. 07, 2020",-
DAL,"DAL
DELTA AIR LINES, INC.
ST","Purchase
$1,001 - $15,000","Susan W. Brooks
House / R","Apr. 27, 2020","Apr. 06, 2020",-
DAL,"DAL
DELTA AIR LINES, INC.
ST","Sale
$1,001 - $15,000","Dean Phillips
House / D","May. 07, 2020","Apr. 02, 2020",-
DAL,"DAL
Delta Air Lines, Inc.
Stock","Purchase
$50,001 - $100,000","Loeffler, Kelly
Senate / R","May. 01, 2020","Mar. 20, 2020",-
DAL,"DAL
DELTA AIR LINES, INC.
ST","Sale
$1,001 - $15,000","Gilbert Cisneros
House / D","Apr. 16, 2020","Mar. 18, 2020",-
DAL,"DAL
Delta Air Lines, Inc.
Stock","Purchase
$50,001 - $100,000","Loeffler, Kelly
Senate / R","May. 01, 2020","Mar. 17, 2020",-
